Date	Name	Year	Letterboxd URI	Rating	Rewatch	Tags	Watched Date	Genre	Language	Country	Director	Revenue	Budget
2019-12-12	Marriage Story	2019	https://boxd.it/THBlL	5,00			2019-12-12	Drama	en	United States of America	Noah Baumbach	2300000	18000000
2019-12-13	It Follows	2014	https://boxd.it/TJaqD	0,00			2019-12-12	Horror	en	United States of America	David Robert Mitchell	14674076	2000000
2019-12-14	Monos	2019	https://boxd.it/TMi2l	4,00			2019-12-13	Drama	es	Argentina	Alejandro Landes	1929915	1800000
2019-12-19	Give Me Liberty	2019	https://boxd.it/U6mRx	4,00			2019-12-18	Comedy	en	United States of America	Kirill Mikhanovsky	0	0
2019-12-21	When They See Us	2019	https://boxd.it/UfySZ	4,50			2019-12-20	Documentary	en	United States of America	Mark Ritchie	0	0
2019-12-21	Duck Soup	1933	https://boxd.it/Ug3dX	4,50			2019-12-20	Comedy	en	United States of America	Leo McCarey	0	0
2019-12-23	Paddington 2	2017	https://boxd.it/UoUhp	3,50			2019-12-22	Adventure	en	United Kingdom	Paul King	227300000	40000000
2019-12-30	Before Sunrise	1995	https://boxd.it/V1yWX	4,50			2019-12-29	Drama	en	United States of America	Richard Linklater	5987386	2500000
2019-12-30	Before Sunset	2004	https://boxd.it/V3lC5	4,50			2019-12-30	Drama	en	United States of America	Richard Linklater	15992615	2700000
2019-12-31	Tokyo Godfathers	2003	https://boxd.it/V8RdL	3,50			2019-12-31	Animation	ja	Japan	Satoshi Kon	148355	0
2020-01-01	Mommy	2014	https://boxd.it/ViKXR	5,00			2020-01-01	Drama	fr	Canada	Xavier Dolan	3494070	4900000
2020-01-02	The Cabin in the Woods	2011	https://boxd.it/VqGqP	2,50			2020-01-02	Horror	en	United States of America	Drew Goddard	71000000	30000000
2020-01-03	A Rainy Day in New York	2019	https://boxd.it/VsFmB	2,50			2020-01-02	Comedy	en	United States of America	Woody Allen	23800000	25000000
2020-01-03	Koko-di Koko-da	2019	https://boxd.it/VtJZJ	3,50			2020-01-02	Horror	sv	Denmark	Johannes Nyholm	0	0
2020-01-04	Talking Heads	1980	https://boxd.it/VyusF	0,00			2020-01-03	Documentary	pl	Poland	Krzysztof Kieślowski	0	0
2020-01-04	I Lost My Body	2019	https://boxd.it/VAGE3	4,00			2020-01-04	Animation	fr	France	Jérémy Clapin	0	0
2020-01-05	Tramway	1966	https://boxd.it/VF97v	0,00			2020-01-04	Drama	pl	Poland	Krzysztof Kieślowski	0	0
2020-01-05	Great Poetry	2019	https://boxd.it/VFUwx	4,00	Yes		2020-01-04	Drama	ru	Russia	Alexandr Lungin	0	0
2020-01-07	David Lynch: The Art Life	2016	https://boxd.it/VTdFf	3,50			2020-01-06	Documentary	en	United States of America	Jon Nguyen	311470	179554
2020-01-16	Paradise Hills	2019	https://boxd.it/WKlDH	2,50			2020-01-15	Fantasy	en	United States of America	Alice Waddington	0	6000000
2020-01-18	Goldman v Silverman	2020	https://boxd.it/WTIVn	3,50			2020-01-17	Drama	en	United States of America	Josh Safdie	0	0
2020-01-18	The Lighthouse	2019	https://boxd.it/WUt4l	4,50			2020-01-17	Drama	en	United States of America	Robert Eggers	18100000	11000000
2020-01-18	Hair Love	2019	https://boxd.it/WUTzz	3,00			2020-01-17	Animation	en	United States of America	Matthew A. Cherry	0	284058
2020-01-18	Busting a Nut	2019	https://boxd.it/WUWAP	4,00			2020-01-17						
2020-01-18	Patricia	2019	https://boxd.it/WUYGP	3,50			2020-01-17	Thriller	fr	France	Hugo Bergès	0	0
2020-01-20	Corpus Christi	2019	https://boxd.it/X6vKH	4,00			2020-01-19	Drama	pl	Poland	Jan Komasa	9943901	0
2020-01-26	Hot Summer Nights	2017	https://boxd.it/XDY7v	1,50			2020-01-25	Drama	en	United States of America	Elijah Bynum	0	0
2020-01-27	Pure Art	2019	https://boxd.it/XJ0Kf	4,00			2020-01-26	Documentary	ru	Belarus	Maxim Shved	0	0
2020-01-27	Columbus	2017	https://boxd.it/XKG3J	5,00			2020-01-26	Drama	en	United States of America	Kogonada	1015744	700000
2020-02-01	When Lynch Met Lucas	2010	https://boxd.it/Y8bgZ	0,00			2020-01-31	Unknown	en	United States of America	Sascha Ciezata	0	0
2020-02-01	Negative Space	2017	https://boxd.it/Y8bVj	4,50			2020-01-31	Animation	en	France	Ru Kuwahata	0	0
2020-02-02	1917	2019	https://boxd.it/Yf0OZ	4,00			2020-02-01	War	en	United States of America	Sam Mendes	394638258	100000000
2020-02-02	Kitbull	2019	https://boxd.it/YjLm7	0,00			2020-02-02	Animation	en	United States of America	Rosana Sullivan	0	0
2020-02-04	Dracula	2020	https://boxd.it/YuvOh	2,50			2020-02-04	Romance	en	United States of America	Francis Ford Coppola	215900000	40000000
2020-02-06	Waves	2019	https://boxd.it/YBbHT	3,00			2020-02-05	Romance	en	United States of America	Trey Edward Shults	2576990	6000000
2020-02-08	Little Women	2019	https://boxd.it/YJYNH	3,50			2020-02-07	Drama	en	United States of America	Greta Gerwig	216600000	40000000
2020-02-11	Good Time	2017	https://boxd.it/Z3qzr	4,00			2020-02-10	Crime	en	United States of America	Benny Safdie	3283369	0
2020-02-11	Nausicaä of the Valley of the Wind	1984	https://boxd.it/Z5Ur7	0,00			2020-02-11	Adventure	ja	Japan	Hayao Miyazaki	3301446	1000000
2020-02-13	Personal Shopper	2016	https://boxd.it/ZdIiX	3,50			2020-02-12	Drama	fr	France	Olivier Assayas	1305195	6000000
2020-02-14	Jojo Rabbit	2019	https://boxd.it/ZiQ2D	4,50			2020-02-13	Comedy	en	New Zealand	Taika Waititi	82468705	14000000
2020-02-15	The Farewell	2019	https://boxd.it/Znd4P	4,50	Yes		2020-02-14	Comedy	en	United States of America	Lulu Wang	23076657	250300
2020-02-18	Something Left, Something Taken	2010	https://boxd.it/ZFsC9	5,00			2020-02-17	Animation	en	United States of America	Max Porter	0	0
2020-02-18	Perfect Houseguest	2015	https://boxd.it/ZFtPN	0,00			2020-02-17	Animation	en	United States of America	Max Porter	0	0
2020-02-18	World of Tomorrow	2015	https://boxd.it/ZHhbl	3,50			2020-02-17	Animation	en	United States of America	Don Hertzfeldt	0	0
2020-02-21	Hot Fuzz	2007	https://boxd.it/ZXKid	3,50			2020-02-20	Crime	en	United Kingdom	Edgar Wright	80600000	12000000
2020-02-22	Miss Stevens	2016	https://boxd.it/102y8l	4,00			2020-02-22	Comedy	en	United States of America	Julia Hart	4611	0
2020-02-23	To All the Boys: P.S. I Still Love You	2020	https://boxd.it/1088hN	2,50			2020-02-23	Romance	en	United States of America	Michael Fimognari	0	0
2020-02-27	Her	2013	https://boxd.it/10rPJj	5,00	Yes		2020-02-26	Romance	en	United States of America	Spike Jonze	47351251	23000000
2020-02-29	Contagion	2011	https://boxd.it/10Bh7v	3,00			2020-02-29	Drama	en	United Arab Emirates	Steven Soderbergh	137551594	60000000
2020-03-01	Saria	2019	https://boxd.it/10Gk3r	0,00			2020-02-29	Drama	es	Spain	Bryan Buckley	0	0
2020-03-01	Lost & Found	2018	https://boxd.it/10Gv4P	0,00			2020-03-01	Animation	en	United States of America	Spike Brandt	0	0
2020-03-01	The Man Who Was Afraid of Falling	2011	https://boxd.it/10Gwt7	0,00			2020-03-01	Animation	en	United Kingdom	Joseph Wallace	0	0
2020-03-02	The Black Balloon	2012	https://boxd.it/10ME89	3,00			2020-03-01	Drama	en	United States of America	Josh Safdie	0	0
2020-03-04	Blue Valentine	2010	https://boxd.it/10WxqZ	4,00			2020-03-03	Drama	en	United States of America	Derek Cianfrance	15440333	1000000
2020-03-06	Amadeus	1984	https://boxd.it/115all	0,00			2020-03-05	History	en	United States of America	Miloš Forman	90000000	18000000
2020-03-07	Brooklyn	2015	https://boxd.it/119GS5	4,00			2020-03-06	Romance	en	Ireland	John Crowley	62076141	11000000
2020-03-08	Lady Bird	2017	https://boxd.it/11dZt7	5,00	Yes		2020-03-07	Drama	en	United States of America	Greta Gerwig	79000000	10000000
2020-03-12	Richard Jewell	2019	https://boxd.it/11wnnD	3,50			2020-03-11	Drama	en	United States of America	Clint Eastwood	33900000	45000000
2020-03-15	It Comes at Night	2017	https://boxd.it/11Kfrv	4,00			2020-03-14	Drama	en	United States of America	Trey Edward Shults	19280931	5000000
2020-03-16	Burning	2018	https://boxd.it/11PTcP	4,50			2020-03-15	Unknown	en	United States of America	VS Sanoj	0	0
2020-03-19	The Rocky Horror Picture Show	1975	https://boxd.it/126YDb	3,50			2020-03-18	Comedy	en	United Kingdom	Jim Sharman	112892319	1200000
2020-03-20	Playground	2016	https://boxd.it/12cCmf	2,50			2020-03-19	Drama	fr	France	Julien Abraham	0	0
2020-03-20	The Ritual	2017	https://boxd.it/12dxWz	3,50			2020-03-20	Horror	en	United Kingdom	David Bruckner	1786396	1000000
2020-03-21	10 Cloverfield Lane	2016	https://boxd.it/12iF4F	3,50			2020-03-20	Thriller	en	United States of America	Dan Trachtenberg	110216998	15000000
2020-03-23	Little Women	2019	https://boxd.it/12yo3H	3,50	Yes		2020-03-22	Drama	en	United States of America	Greta Gerwig	216600000	40000000
2020-03-24	Broomshakalaka	2013	https://boxd.it/12FbbH	0,00			2020-03-23	Comedy	en	United States of America	Daniel Scheinert	0	0
2020-03-24	Before Midnight	2013	https://boxd.it/12JKMh	4,50			2020-03-24	Romance	en	United States of America	Richard Linklater	11176469	3000000
2020-03-26	The Girl with All the Gifts	2016	https://boxd.it/12QQUZ	1,00			2020-03-25	Action	en	United Kingdom	Colm McCarthy	0	5005600
2020-03-26	Climax	2018	https://boxd.it/12RlqL	4,50	Yes		2020-03-25	Horror	fr	France	Gaspar Noé	1700000	2900000
2020-03-27	Mommy	2014	https://boxd.it/12ZfMd	5,00	Yes		2020-03-26	Drama	fr	Canada	Xavier Dolan	3494070	4900000
2020-03-30	The Platform	2019	https://boxd.it/13nLat	3,00			2020-03-29	Drama	es	Spain	Galder Gaztelu-Urrutia	1090116	1203235
2020-04-02	Angst	1983	https://boxd.it/13Gox3	0,00			2020-04-01	Thriller	de	Austria	Gerald Kargl	0	472000
2020-04-02	The Edge of Seventeen	2016	https://boxd.it/13HN0Z	4,50			2020-04-01	Comedy	en	United States of America	Kelly Fremon Craig	18803648	9000000
2020-04-03	First Reformed	2017	https://boxd.it/13QmWb	5,00			2020-04-02	Drama	en	United States of America	Paul Schrader	2525738	3500000
2020-04-04	Booksmart	2019	https://boxd.it/13VZLL	5,00	Yes		2020-04-03	Comedy	en	United States of America	Olivia Wilde	24849029	6000000
2020-04-07	Dosed	2019	https://boxd.it/14jYYR	3,50			2020-04-06	Documentary	en	Canada	Tyler Chandler	0	0
2020-04-07	It's Not You, It's Me	2013	https://boxd.it/14kwBR	3,50			2020-04-06	Comedy	en	United States of America	Matt Spicer	0	0
2020-04-08	The Hunt	2020	https://boxd.it/14qP1b	3,00			2020-04-07	Action	en	United States of America	Craig Zobel	10550350	14000000
2020-04-08	Ingrid Goes West	2017	https://boxd.it/14t8V7	3,50			2020-04-08	Comedy	en	United States of America	Matt Spicer	24931915	0
2020-04-10	Swallow	2019	https://boxd.it/14H1YV	4,50			2020-04-10	Drama	en	United States of America	Carlo Mirabella-Davis	274674	0
2020-04-13	Compliance	2012	https://boxd.it/156dbL	0,00			2020-04-12	Drama	en	United States of America	Craig Zobel	592116	270000
2020-04-13	For Sama	2019	https://boxd.it/15cNkh	0,00			2020-04-13	Documentary	en	United Kingdom	Edward Watts	0	0
2020-04-14	All the Bright Places	2020	https://boxd.it/15hs9d	2,50			2020-04-13	Romance	en	United States of America	Brett Haley	0	0
2020-04-14	Lost in Translation	2003	https://boxd.it/15llJr	3,00			2020-04-14	Drama	en	United States of America	Sofia Coppola	119723856	4000000
2020-04-15	The Eyes of My Mother	2016	https://boxd.it/15oQRd	4,00			2020-04-15	Drama	en	United States of America	Nicolas Pesce	0	0
2020-04-16	Ghosts Before Breakfast	1928	https://boxd.it/15zMAp	0,00			2020-04-16	Animation	xx	Germany	Hans Richter	0	0
2020-04-18	Balance	1989	https://boxd.it/15I8ZH	0,00			2020-04-17	Drama	de	Germany	Wolfgang Lauenstein	0	0
2020-04-18	The Gentlemen	2019	https://boxd.it/15JGqN	3,00			2020-04-17	Action	en	United Kingdom	Guy Ritchie	115171795	22000000
2020-04-19	Queen of Hearts	2019	https://boxd.it/15PyKR	4,50			2020-04-18	Drama	da	Denmark	May el-Toukhy	0	19000000
2020-04-19	DAU. Natasha	2020	https://boxd.it/15SuKJ	3,00			2020-04-18	Drama	ru	Russia	Ilya Khrzhanovsky	0	0
2020-04-20	How to Be Loved	1963	https://boxd.it/161cmH	0,00			2020-04-19	Drama	pl	Poland	Wojciech Jerzy Has	0	0
2020-04-22	Call Center	2020	https://boxd.it/16dRRb	3,50			2020-04-21	Documentary	en	United States of America	Geeta Gandbhir	0	0
2020-04-22	Onward	2020	https://boxd.it/16fQh1	3,00			2020-04-21	Family	en	United States of America	Dan Scanlon	141940042	200000000
2020-04-22	Dead Poets Society	1989	https://boxd.it/16kmgn	3,50			2020-04-22	Drama	en	United States of America	Peter Weir	235900000	16400000
2020-04-24	Little Black Mirror: 69.90	2018	https://boxd.it/16sQSn	3,50	Yes		2020-04-23						
2020-04-25	Paterson	2016	https://boxd.it/16zucN	5,00			2020-04-24	Drama	en	United States of America	Jim Jarmusch	2152738	5000000
2020-04-26	The Invisible Man	2020	https://boxd.it/16Hnf7	3,50			2020-04-25	Thriller	en	Australia	Leigh Whannell	144500000	7000000
2020-04-26	Only Lovers Left Alive	2013	https://boxd.it/16NSDV	3,50			2020-04-26	Drama	en	United Kingdom	Jim Jarmusch	7600000	7000000
