Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-12-13,It Follows,2014,https://boxd.it/TJaqD,,,,2019-12-12
2019-12-14,Monos,2019,https://boxd.it/TMi2l,4,,,2019-12-13
2019-12-19,Give Me Liberty,2019,https://boxd.it/U6mRx,4,,,2019-12-18
2019-12-21,When They See Us,2019,https://boxd.it/UfySZ,4.5,,,2019-12-20
2019-12-21,Duck Soup,1933,https://boxd.it/Ug3dX,4.5,,,2019-12-20
2019-12-23,Paddington 2,2017,https://boxd.it/UoUhp,3.5,,,2019-12-22
2019-12-30,Before Sunrise,1995,https://boxd.it/V1yWX,4.5,,,2019-12-29
2019-12-30,Before Sunset,2004,https://boxd.it/V3lC5,4.5,,,2019-12-30
2019-12-31,Tokyo Godfathers,2003,https://boxd.it/V8RdL,3.5,,,2019-12-31
2020-01-01,Mommy,2014,https://boxd.it/ViKXR,5,,,2020-01-01
2020-01-02,The Cabin in the Woods,2011,https://boxd.it/VqGqP,2.5,,,2020-01-02
2020-01-03,A Rainy Day in New York,2019,https://boxd.it/VsFmB,2.5,,,2020-01-02
2020-01-03,Koko-di Koko-da,2019,https://boxd.it/VtJZJ,3.5,,,2020-01-02
2020-01-04,Talking Heads,1980,https://boxd.it/VyusF,,,,2020-01-03
2020-01-04,I Lost My Body,2019,https://boxd.it/VAGE3,4,,,2020-01-04
2020-01-05,Tramway,1966,https://boxd.it/VF97v,,,,2020-01-04
2020-01-05,Great Poetry,2019,https://boxd.it/VFUwx,4,Yes,,2020-01-04
2020-01-07,David Lynch: The Art Life,2016,https://boxd.it/VTdFf,3.5,,,2020-01-06
2020-01-16,Paradise Hills,2019,https://boxd.it/WKlDH,2.5,,,2020-01-15
2020-01-18,Goldman v Silverman,2020,https://boxd.it/WTIVn,3.5,,,2020-01-17
2020-01-18,The Lighthouse,2019,https://boxd.it/WUt4l,4.5,,,2020-01-17
2020-01-18,Hair Love,2019,https://boxd.it/WUTzz,3,,,2020-01-17
2020-01-18,Busting a Nut,2019,https://boxd.it/WUWAP,4,,,2020-01-17
2020-01-18,Patricia,2019,https://boxd.it/WUYGP,3.5,,,2020-01-17
2020-01-20,Corpus Christi,2019,https://boxd.it/X6vKH,4,,,2020-01-19
2020-01-26,Hot Summer Nights,2017,https://boxd.it/XDY7v,1.5,,,2020-01-25
2020-01-27,Pure Art,2019,https://boxd.it/XJ0Kf,4,,,2020-01-26
2020-01-27,Columbus,2017,https://boxd.it/XKG3J,5,,,2020-01-26
2020-02-01,When Lynch Met Lucas,2010,https://boxd.it/Y8bgZ,,,,2020-01-31
2020-02-01,Negative Space,2017,https://boxd.it/Y8bVj,4.5,,,2020-01-31
2020-02-02,1917,2019,https://boxd.it/Yf0OZ,4,,,2020-02-01
2020-02-02,Kitbull,2019,https://boxd.it/YjLm7,,,,2020-02-02
2020-02-04,Dracula,2020,https://boxd.it/YuvOh,2.5,,,2020-02-04
2020-02-06,Waves,2019,https://boxd.it/YBbHT,3,,,2020-02-05
2020-02-08,Little Women,2019,https://boxd.it/YJYNH,3.5,,,2020-02-07
2020-02-11,Good Time,2017,https://boxd.it/Z3qzr,4,,,2020-02-10
2020-02-11,Nausicaä of the Valley of the Wind,1984,https://boxd.it/Z5Ur7,,,,2020-02-11
2020-02-13,Personal Shopper,2016,https://boxd.it/ZdIiX,3.5,,,2020-02-12
2020-02-14,Jojo Rabbit,2019,https://boxd.it/ZiQ2D,4.5,,,2020-02-13
2020-02-15,The Farewell,2019,https://boxd.it/Znd4P,4.5,Yes,,2020-02-14
2020-02-18,"Something Left, Something Taken",2010,https://boxd.it/ZFsC9,5,,,2020-02-17
2020-02-18,Perfect Houseguest,2015,https://boxd.it/ZFtPN,,,,2020-02-17
2020-02-18,World of Tomorrow,2015,https://boxd.it/ZHhbl,3.5,,,2020-02-17
2020-02-21,Hot Fuzz,2007,https://boxd.it/ZXKid,3.5,,,2020-02-20
2020-02-22,Miss Stevens,2016,https://boxd.it/102y8l,4,,,2020-02-22
2020-02-23,To All the Boys: P.S. I Still Love You,2020,https://boxd.it/1088hN,2.5,,,2020-02-23
2020-02-27,Her,2013,https://boxd.it/10rPJj,5,Yes,,2020-02-26
2020-02-29,Contagion,2011,https://boxd.it/10Bh7v,3,,,2020-02-29
2020-03-01,Saria,2019,https://boxd.it/10Gk3r,,,,2020-02-29
2020-03-01,Lost & Found,2018,https://boxd.it/10Gv4P,,,,2020-03-01
2020-03-01,The Man Who Was Afraid of Falling,2011,https://boxd.it/10Gwt7,,,,2020-03-01
2020-03-02,The Black Balloon,2012,https://boxd.it/10ME89,3,,,2020-03-01
2020-03-04,Blue Valentine,2010,https://boxd.it/10WxqZ,4,,,2020-03-03
2020-03-06,Amadeus,1984,https://boxd.it/115all,,,,2020-03-05
2020-03-07,Brooklyn,2015,https://boxd.it/119GS5,4,,,2020-03-06
2020-03-08,Lady Bird,2017,https://boxd.it/11dZt7,5,Yes,,2020-03-07
2020-03-12,Richard Jewell,2019,https://boxd.it/11wnnD,3.5,,,2020-03-11
2020-03-15,It Comes at Night,2017,https://boxd.it/11Kfrv,4,,,2020-03-14
2020-03-16,Burning,2018,https://boxd.it/11PTcP,4.5,,,2020-03-15
2020-03-19,The Rocky Horror Picture Show,1975,https://boxd.it/126YDb,3.5,,,2020-03-18
2020-03-20,Playground,2016,https://boxd.it/12cCmf,2.5,,,2020-03-19
2020-03-20,The Ritual,2017,https://boxd.it/12dxWz,3.5,,,2020-03-20
2020-03-21,10 Cloverfield Lane,2016,https://boxd.it/12iF4F,3.5,,,2020-03-20
2020-03-23,Little Women,2019,https://boxd.it/12yo3H,3.5,Yes,,2020-03-22
2020-03-24,Broomshakalaka,2013,https://boxd.it/12FbbH,,,,2020-03-23
2020-03-24,Before Midnight,2013,https://boxd.it/12JKMh,4.5,,,2020-03-24
2020-03-26,The Girl with All the Gifts,2016,https://boxd.it/12QQUZ,1,,,2020-03-25
2020-03-26,Climax,2018,https://boxd.it/12RlqL,4.5,Yes,,2020-03-25
2020-03-27,Mommy,2014,https://boxd.it/12ZfMd,5,Yes,,2020-03-26
2020-03-30,The Platform,2019,https://boxd.it/13nLat,3,,,2020-03-29
2020-04-02,Angst,1983,https://boxd.it/13Gox3,,,,2020-04-01
2020-04-02,The Edge of Seventeen,2016,https://boxd.it/13HN0Z,4.5,,,2020-04-01
2020-04-03,First Reformed,2017,https://boxd.it/13QmWb,5,,,2020-04-02
2020-04-04,Booksmart,2019,https://boxd.it/13VZLL,5,Yes,,2020-04-03
2020-04-07,Dosed,2019,https://boxd.it/14jYYR,3.5,,,2020-04-06
2020-04-07,"It's Not You, It's Me",2013,https://boxd.it/14kwBR,3.5,,,2020-04-06
2020-04-08,The Hunt,2020,https://boxd.it/14qP1b,3,,,2020-04-07
2020-04-08,Ingrid Goes West,2017,https://boxd.it/14t8V7,3.5,,,2020-04-08
2020-04-10,Swallow,2019,https://boxd.it/14H1YV,4.5,,,2020-04-10
2020-04-13,Compliance,2012,https://boxd.it/156dbL,,,,2020-04-12
2020-04-13,For Sama,2019,https://boxd.it/15cNkh,,,,2020-04-13
2020-04-14,All the Bright Places,2020,https://boxd.it/15hs9d,2.5,,,2020-04-13
2020-04-14,Lost in Translation,2003,https://boxd.it/15llJr,3,,,2020-04-14
2020-04-15,The Eyes of My Mother,2016,https://boxd.it/15oQRd,4,,,2020-04-15
2020-04-16,Ghosts Before Breakfast,1928,https://boxd.it/15zMAp,,,,2020-04-16
2020-04-18,Balance,1989,https://boxd.it/15I8ZH,,,,2020-04-17
2020-04-18,The Gentlemen,2019,https://boxd.it/15JGqN,3,,,2020-04-17
2020-04-19,Queen of Hearts,2019,https://boxd.it/15PyKR,4.5,,,2020-04-18
2020-04-19,DAU. Natasha,2020,https://boxd.it/15SuKJ,3,,,2020-04-18
2020-04-20,How to Be Loved,1963,https://boxd.it/161cmH,,,,2020-04-19
2020-04-22,Call Center,2020,https://boxd.it/16dRRb,3.5,,,2020-04-21
2020-04-22,Onward,2020,https://boxd.it/16fQh1,3,,,2020-04-21
2020-04-22,Dead Poets Society,1989,https://boxd.it/16kmgn,3.5,,,2020-04-22
2020-04-24,Little Black Mirror: 69.90,2018,https://boxd.it/16sQSn,3.5,Yes,,2020-04-23
2020-04-25,Paterson,2016,https://boxd.it/16zucN,5,,,2020-04-24
2020-04-26,The Invisible Man,2020,https://boxd.it/16Hnf7,3.5,,,2020-04-25
2020-04-26,Only Lovers Left Alive,2013,https://boxd.it/16NSDV,3.5,,,2020-04-26
2020-04-28,It's Such a Beautiful Day,2012,https://boxd.it/16X447,,,,2020-04-27
2020-04-28,Insomnia,2002,https://boxd.it/174rXD,3,,,2020-04-28
2020-04-29,Videodrome,1983,https://boxd.it/17bxvz,,,,2020-04-29
2020-04-30,What We Do in the Shadows,2014,https://boxd.it/17ipgb,4,,,2020-04-30
2020-05-01,Drag Me to Hell,2009,https://boxd.it/17kMGv,4,,,2020-04-30
2020-05-01,Tiger King,2020,https://boxd.it/17pOB3,3.5,,,2020-05-01
2020-05-03,The Gift,2015,https://boxd.it/17A0xd,3.5,,,2020-05-02
